-1.0,-0.76356304,0.09492183,-1.0,-0.95084405,-1.0,-1.0,-0.7089925,-1.0,-1.0,-1.0,-0.13261992,-0.09492183,-1.0,-0.42358124,-1.0
-0.98819774,-0.18432891,-1.0,-1.0,-1.0,-1.0,-0.9737861,-0.4023252,-0.7854649,-0.9060358,-0.7177241,-0.15831786,-1.0,-1.0,-0.028926075,-0.9710739
-0.46883023,-0.9906803,-0.8086846,-1.0,-1.0,-0.21539748,-0.29406506,-0.77112377,0.18391114,-0.9906803,-0.5215018,-1.0,-0.55021966,-0.45371085,-1.0,-0.9906803
-1.0,-0.7632926,-0.8419513,-0.78282666,-0.16086912,0.10905671,-1.0,-0.1945054,-0.845503,-0.7112713,-0.28287894,-1.0,-1.0,-0.10905671,-0.63337004,-0.45826805
-0.5942584,-0.29151803,-1.0,-0.47088063,0.10707724,-0.9020161,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.26831514,-0.10707724,-0.3945551,-0.27336574
-1.0,-1.0,-0.66058123,-1.0,-0.7349701,-0.4811449,-0.9768125,-0.43258846,-1.0,-0.5883958,-1.0,0.13261992,-1.0,-1.0,-0.85757184,-0.55482113
-1.0,-0.070677996,-0.4849772,-1.0,-0.16520798,-0.52230227,-0.026213884,-1.0,-0.19323087,-0.39865005,-1.0,-0.20029378,-1.0,0.026213884,-1.0,-1.0
-0.039031327,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8625728,-0.706243,-1.0,-1.0,-0.35138446,-1.0,0.039031327,-1.0,-0.89350414,-0.3980791
0.02722907,-0.5503032,-1.0,-0.8519311,-1.0,-1.0,-0.98819774,-0.5604669,-0.9868288,-0.6646373,-0.4397865,-1.0,-0.04495758,-0.34620732,-1.0,-0.98819774
-1.0,-0.9476704,-1.0,0.18684691,-0.7723393,-1.0,-0.18684691,-1.0,-1.0,-0.434402,-1.0,-0.71293676,-0.40604883,-1.0,-0.34581125,-1.0
-1.0,-1.0,-0.5638075,-0.30947858,-1.0,-1.0,-1.0,-0.7910119,-1.0,-0.050945878,-1.0,-1.0,-1.0,-1.0,0.028926075,-1.0
